"","date","train_id","delta","avglate","service","source","dest"
"1","2016-03-23","1054",20,1.27272727272727,"LOCAL","Cynwyd","Suburban Station"
"2","2016-03-23","1056",19.9,0.888888888888889,"LOCAL","Cynwyd","Temple U"
"3","2016-03-23","1057",23.9166666666667,0.222222222222222,"LOCAL","Suburban Station","Cynwyd"
"4","2016-03-23","1058",19.9,1.3,"LOCAL","Cynwyd","Suburban Station"
"5","2016-03-23","1059",1.9,0,"LOCAL","Suburban Station","Cynwyd"
"6","2016-03-23","1060",30.05,7.85714285714286,"LOCAL","Cynwyd","Suburban Station"
"7","2016-03-23","1061",25.05,1.8,"LOCAL","Suburban Station","Cynwyd"
"8","2016-03-23","1062",24.75,5.23529411764706,"LOCAL","Cynwyd","Suburban Station"
"9","2016-03-23","1071",98.9,0.8,"LOCAL","Suburban Station","Cynwyd"
"10","2016-03-23","1072",16.7833333333333,0.125,"LOCAL","Cynwyd","Suburban Station"
"11","2016-03-23","1081",22.9,0.6,"LOCAL","Suburban Station","Cynwyd"
"12","2016-03-23","1082",19.55,1,"LOCAL","Cynwyd","Suburban Station"
"13","2016-03-23","1083",25.3666666666667,3.41666666666667,"LOCAL","Suburban Station","Cynwyd"
"14","2016-03-23","1084",17.6333333333333,0.142857142857143,"LOCAL","Cynwyd","Suburban Station"
"15","2016-03-23","1085",26.75,3.14285714285714,"LOCAL","Suburban Station","Cynwyd"
"16","2016-03-23","1086",23.6666666666667,2.07142857142857,"LOCAL","Cynwyd","Suburban Station"
"17","2016-03-23","1087",24.65,2.75,"LOCAL","Suburban Station","Cynwyd"
"18","2016-03-23","1088",19.7833333333333,0.6,"LOCAL","Cynwyd","Suburban Station"
"19","2016-03-23","1089",24.6166666666667,2.5,"LOCAL","Suburban Station","Cynwyd"
"20","2016-03-23","1091",20,0,"LOCAL","Suburban Station","Cynwyd"
"21","2016-03-23","1203",83.9333333333333,5.4,"LOCAL","Suburban Station","Newark"
"22","2016-03-23","1256",65.9166666666667,0.272727272727273,"LOCAL","Newark","Suburban Station"
"23","2016-03-23","1295",67.7333333333333,1.73333333333333,"EXP TO RIDLEY PARK-CHESTER","Suburban Station","Newark"
"24","2016-03-23","1386",50.9,1,"LOCAL","Elwyn","Suburban Station"
"25","2016-03-23","1390",42.8666666666667,0.615384615384615,"LOCAL","Elwyn","Suburban Station"
"26","2016-03-23","1565",254.15,11.5714285714286,"EXP TO BRYN MAWR","Suburban Station","Thorndale"
"27","2016-03-23","1703",53.8333333333333,0.416666666666667,"LTD TO N PHILA & TRENTON","Suburban Station","Trenton"
"28","2016-03-23","1766",50.9166666666667,0.0555555555555556,"LOCAL","Trenton","Suburban Station"
"29","2016-03-23","1781",50.8166666666667,0,"LOCAL","Suburban Station","Trenton"
"30","2016-03-23","1803",36.1,0,"LOCAL","Suburban Station","Chestnut H West"
"31","2016-03-23","207",122.9,1.3953488372093,"LOCAL","Norristown","Newark"
"32","2016-03-23","216",92.7333333333333,0.863636363636364,"LOCAL","Marcus Hook","Norristown"
"33","2016-03-23","220",107.916666666667,0.41304347826087,"LOCAL","Wilmington","Norristown"
"34","2016-03-23","222",91.9333333333333,0.837209302325581,"LOCAL","Marcus Hook","Norristown"
"35","2016-03-23","2301",56,1.48,"LOCAL","Norristown","University City"
"36","2016-03-23","2327",87.9,1.8125,"LOCAL","Norristown","Elwyn"
"37","2016-03-23","2329",89.9166666666667,2.09803921568627,"LOCAL","Norristown","Elwyn"
"38","2016-03-23","2333",88.75,1.09615384615385,"LOCAL","Norristown","Elwyn"
"39","2016-03-23","2367",97.9333333333333,4.41509433962264,"EXP MORTON TO MEDIA","Norristown","Elwyn"
"40","2016-03-23","2371",98.6666666666667,0.630434782608696,"EXP TO FERNWOOD-YEADON","Norristown","Elwyn"
"41","2016-03-23","2372",118.3,2.27118644067797,"LOCAL","Marcus Hook","West Trenton"
"42","2016-03-23","2386",77.5333333333333,0.567567567567568,"LOCAL","University City","West Trenton"
"43","2016-03-23","2450",58.65,0.727272727272727,"EXP JENKINTOWN","University City","Warminster"
"44","2016-03-23","2509",62.0166666666667,1.875,"LOCAL","Norristown","30th St"
"45","2016-03-23","252",116.966666666667,2.05769230769231,"LOCAL","Wilmington","Norristown"
"46","2016-03-23","2555",80.05,2.29268292682927,"LOCAL","Norristown","Bryn Mawr"
"47","2016-03-23","264",102.9,0.608695652173913,"LOCAL","Wilmington","Norristown"
"48","2016-03-23","2718",131.666666666667,9.62903225806452,"LOCAL","Newark","Chestnut H East"
"49","2016-03-23","272",98.35,0.979166666666667,"LOCAL","Wilmington","Norristown"
"50","2016-03-23","2720",76.9166666666667,0,"LOCAL","Newark","Temple U"
"51","2016-03-23","273",111.65,4.17021276595745,"LOCAL","Norristown","Wilmington"
"52","2016-03-23","274",102.933333333333,0.340425531914894,"LOCAL","Wilmington","Norristown"
"53","2016-03-23","275",102.716666666667,1.47727272727273,"LOCAL","Norristown","Wilmington"
"54","2016-03-23","2751",108.683333333333,3.02272727272727,"LOCAL","Norristown","Trenton"
"55","2016-03-23","2760",108.583333333333,0.295454545454545,"LOCAL","Newark","Chestnut H East"
"56","2016-03-23","277",84.0666666666667,1.24444444444444,"LOCAL","Norristown","Marcus Hook"
"57","2016-03-23","309",115.9,1.2280701754386,"LOCAL","West Trenton","Elwyn"
"58","2016-03-23","313",75.9,0.894736842105263,"LOCAL","West Trenton","University City"
"59","2016-03-23","319",110.816666666667,0.333333333333333,"LOCAL","West Trenton","Elwyn"
"60","2016-03-23","3223",142.566666666667,2.3,"LOCAL","West Trenton","Wilmington"
"61","2016-03-23","3224",105.9,1.04347826086957,"LOCAL","Elwyn","Norristown"
"62","2016-03-23","3226",79.65,0.0857142857142857,"LOCAL","Secane","Norristown"
"63","2016-03-23","323",119.916666666667,1.30645161290323,"LOCAL","West Trenton","Elwyn"
"64","2016-03-23","3234",121.983333333333,2.47169811320755,"LOCAL","Elwyn","Norristown"
"65","2016-03-23","3236",120.983333333333,0.416666666666667,"LOCAL","Elwyn","Norristown"
"66","2016-03-23","3238",125.2,2.22033898305085,"LOCAL","Elwyn","Norristown"
"67","2016-03-23","3240",126.916666666667,6.46774193548387,"LOCAL","Elwyn","Norristown"
"68","2016-03-23","3256",59.7666666666667,0.333333333333333,"EXP TO EAST FALLS","University City","Norristown"
"69","2016-03-23","326",120.666666666667,0.426229508196721,"LOCAL","Elwyn","West Trenton"
"70","2016-03-23","328",116.933333333333,0.576271186440678,"LOCAL","Elwyn","West Trenton"
"71","2016-03-23","330",116.8,1.39344262295082,"LOCAL","Elwyn","West Trenton"
"72","2016-03-23","338",94.7666666666667,0.469387755102041,"LOCAL","Secane","West Trenton"
"73","2016-03-23","3505",110.533333333333,0,"LTD TO BRYN MAWR & PAOLI","West Trenton","Paoli"
"74","2016-03-23","3507",70.9166666666667,0.103448275862069,"LOCAL","West Trenton","30th St"
"75","2016-03-23","3524",107.866666666667,1.73684210526316,"LOCAL","Elwyn","Lansdale"
"76","2016-03-23","3542",137.55,4.04347826086957,"LOCAL","Elwyn","Doylestown"
"77","2016-03-23","3566",132.966666666667,1.2089552238806,"LOCAL","Elwyn","Doylestown"
"78","2016-03-23","3596",137.083333333333,0.428571428571429,"EXP TO FT WASH","Elwyn","Doylestown"
"79","2016-03-23","361",115.75,1.16981132075472,"EXP TO PRIMOS","West Trenton","Elwyn"
"80","2016-03-23","369",120.983333333333,3.3448275862069,"LOCAL","West Trenton","Elwyn"
"81","2016-03-23","373",115.716666666667,3.11290322580645,"LOCAL","West Trenton","Elwyn"
"82","2016-03-23","3738",56.1833333333333,0.125,"LOCAL","Elwyn","Temple U"
"83","2016-03-23","3755",120.933333333333,2.6,"EXP TO HOLMESBURG","West Trenton","Trenton"
"84","2016-03-23","376",142.65,0.576923076923077,"LOCAL","Elwyn","West Trenton"
"85","2016-03-23","3791",120.933333333333,1.90697674418605,"EXP EDDINGTON TO TRENTON","West Trenton","Trenton"
"86","2016-03-23","380",127.633333333333,1.40983606557377,"LOCAL","Elwyn","West Trenton"
"87","2016-03-23","383",110.983333333333,0.620689655172414,"LOCAL","West Trenton","Elwyn"
"88","2016-03-23","384",120.683333333333,0.907407407407407,"LOCAL","Elwyn","West Trenton"
"89","2016-03-23","387",119.9,1.5,"LOCAL","West Trenton","Elwyn"
"90","2016-03-23","388",121.366666666667,0.25,"LOCAL","Elwyn","West Trenton"
"91","2016-03-23","389",109.9,0.964285714285714,"LOCAL","West Trenton","Elwyn"
"92","2016-03-23","392",118.983333333333,7.64179104477612,"LOCAL","Elwyn","West Trenton"
